"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.028651500E0,-8.754578744E0,2.538653168E0,-1.255763470E1,1.551713885E1
1.038701500E0,-8.586882353E0,1.414946081E0,-1.297232391E1,1.562106938E1
1.048752500E0,-8.665197621E0,7.750259230E-1,-1.219389696E1,1.497923356E1
1.058802500E0,-9.075664558E0,7.161605412E-1,-1.180858533E1,1.491050839E1
1.068853500E0,-9.117957469E0,8.668941593E-1,-1.064167989E1,1.404044176E1
1.078904500E0,-8.405229828E0,-1.840761960E-2,-1.013221316E1,1.316472449E1
1.088954500E0,-8.770769100E0,-5.560976905E-1,-9.251697325E0,1.276046781E1
1.099005500E0,-8.469270873E0,-9.745820376E-1,-9.004972891E0,1.240031838E1
1.109055500E0,-8.701843876E0,-1.406615553E0,-8.279243381E0,1.209324295E1
1.119106500E0,-8.783162273E0,-9.699191755E-1,-7.667448038E0,1.169933512E1
1.129157500E0,-9.508358517E0,-4.382520291E-1,-7.185327566E0,1.192601689E1
1.139207500E0,-1.020944552E1,-7.676353347E-1,-7.371189501E0,1.261572338E1
1.149258500E0,-9.898585317E0,-1.423777131E0,-7.019151451E0,1.221792207E1
1.159308500E0,-7.499970918E0,-1.931645232E0,-5.095433289E0,9.270612573E0
1.169359500E0,-2.209742902E0,-2.882154868E0,-1.221868097E0,3.831806626E0
1.179409500E0,7.254297228E0,-4.385816659E0,5.064212666E0,9.874536241E0
1.189460500E0,1.963055539E1,-4.191225123E0,1.350667522E1,2.419411806E1
1.199511500E0,3.172992977E1,-2.981547301E0,2.006668284E1,3.766098548E1
1.209561500E0,4.158983225E1,-4.484939243E0,2.174829528E1,4.714676207E1
1.219612500E0,4.575220779E1,-7.176948506E0,1.925771003E1,5.015608142E1
1.229663500E0,4.153550460E1,-7.877118666E0,1.655937437E1,4.540330407E1
1.239713500E0,3.460926014E1,-6.725352838E0,1.661539654E1,3.897566755E1
1.249764500E0,2.691269882E1,-4.983591256E0,1.529241488E1,3.135263135E1
1.259814500E0,1.877776940E1,-5.579448259E0,1.222075907E1,2.308856467E1
1.269865500E0,1.236750664E1,-7.169560549E0,8.459992511E0,1.661111953E1
1.279916500E0,7.677681835E0,-6.789913116E0,5.677297320E0,1.171671555E1
1.289966500E0,4.449598964E0,-5.207836654E0,3.882362328E0,7.873578018E0
1.300017500E0,2.073167732E0,-3.846446975E0,2.304599358E0,4.940076617E0
