"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.176612708E0,-4.730362380E0,-2.096249031E0,1.590008502E-1,5.176472690E0
2.186629708E0,-4.028462613E0,-2.074403248E0,3.578800765E-1,4.545298451E0
2.196646708E0,-2.669561509E0,-1.329965572E0,6.047307372E-1,3.043200016E0
2.206664708E0,-1.008894961E0,-7.414485794E-1,1.580190003E0,2.016089156E0
2.216681708E0,-2.909323078E-1,-9.122410709E-1,2.383999869E0,2.569101157E0
2.226698708E0,-6.084209150E-1,-2.032947074E0,2.834468193E0,3.540799310E0
2.236716708E0,-1.156627788E0,-3.825571246E0,1.019740376E0,4.124639819E0
2.246733708E0,-1.344507305E0,-5.296770465E0,-1.628142580E0,5.702133418E0
2.256750708E0,-1.329803020E0,-6.265126680E0,-2.411309874E0,6.843581204E0
2.266768708E0,-8.000903052E-1,-6.535693136E0,-1.566590695E0,6.768281589E0
2.276785708E0,3.050550878E-1,-6.257373857E0,-1.345530568E-1,6.266250132E0
2.286803708E0,1.387450719E0,-5.772608104E0,8.867887259E-1,6.002867487E0
2.296820708E0,1.920094058E0,-5.504576417E0,1.550686854E0,6.032557703E0
2.306837708E0,2.132295361E0,-5.413101990E0,1.691554903E0,6.058854236E0
2.316855708E0,2.446760373E0,-5.201508213E0,1.069450480E0,5.846883643E0
2.326872708E0,2.956293762E0,-3.427147234E0,-2.219796020E-1,4.531477233E0
2.336889708E0,2.384712059E0,-1.283812914E0,-1.452993767E0,3.073470041E0
2.346907708E0,1.483428086E0,-7.144192404E-1,-1.515123065E0,2.237532489E0
2.356924708E0,1.209691855E0,-3.010316187E-1,-1.327476997E0,1.821035309E0
2.366941708E0,1.188447751E0,3.143685329E-1,-1.687534065E0,2.087823473E0
2.376959708E0,1.184369903E0,7.961498666E-1,-1.832984578E0,2.323019401E0
2.386976708E0,8.547015452E-1,1.861162310E0,-2.070966986E0,2.912618089E0
2.396993708E0,1.609714496E0,1.787794957E0,-2.324548450E0,3.345282807E0
2.407011708E0,2.421072970E0,1.905637987E0,-2.787752448E0,4.155070899E0
2.417028708E0,2.668934103E0,2.037799678E0,-2.871959955E0,4.418596017E0
2.427046708E0,2.888501143E0,2.292061173E0,-2.805037110E0,4.633056925E0
2.437063708E0,3.166332180E0,2.485723295E0,-2.999992928E0,5.020402109E0
2.447080708E0,4.059073371E0,2.421253064E0,-3.067401969E0,5.634491803E0
2.457098708E0,5.328045468E0,2.515179228E0,-2.294167925E0,6.322768502E0
2.467115708E0,5.786059624E0,2.835701956E0,-1.600507908E0,6.639376260E0
2.477132708E0,5.709853447E0,3.097872979E0,-1.198431141E0,6.605715751E0
2.487150708E0,5.980950830E0,3.579600518E0,-8.624695712E-1,7.023472536E0
2.497167708E0,6.039271544E0,4.210477665E0,-7.496416980E-1,7.400194972E0
2.507184708E0,5.561437081E0,4.656606186E0,-2.636166014E-1,7.258309534E0
2.517202708E0,5.015205982E0,4.815407208E0,7.727393693E-1,6.995538846E0
2.527219708E0,4.498619682E0,4.861743468E0,2.063641448E0,6.937776633E0
2.537236708E0,3.880367258E0,4.749695613E0,3.290814139E0,6.960338797E0
2.547254708E0,3.208359042E0,4.557874196E0,4.274031637E0,7.023897163E0
2.557271708E0,1.767531431E0,4.260046851E0,4.825160363E0,6.674903674E0
2.567288708E0,-8.376604199E-1,3.757869844E0,3.827255829E0,5.428733547E0
2.577306708E0,-2.754153178E0,1.742203631E0,2.183913411E0,3.923023198E0
2.587323708E0,-4.284466578E0,-1.844882492E0,2.675927957E0,5.377809563E0
2.597340708E0,-6.734080977E0,-5.716802278E0,4.726422526E0,1.001842027E1
2.607358708E0,-8.890386760E0,-8.214660299E0,3.990029449E0,1.274519343E1
2.617375708E0,-1.007330948E1,-1.023946396E1,1.988942683E0,1.450083028E1
2.627393708E0,-9.489731627E0,-1.054254152E1,1.066529650E0,1.422454475E1
2.637410708E0,-6.061426644E0,-5.087271745E0,6.621884018E-1,7.941015064E0
2.647427708E0,-1.225686328E0,1.859117539E0,1.747440398E-1,2.233642872E0
2.657445708E0,2.558927511E0,3.561023329E0,2.146189515E0,4.882123165E0
2.667462708E0,4.493848354E0,2.490907436E0,2.438589620E0,5.687355468E0
2.677479708E0,4.224931397E0,-1.155706851E0,-4.500474711E-1,4.403208644E0
2.687497708E0,3.664652948E0,-4.094634967E0,-1.280583059E0,5.642305355E0
2.697514708E0,3.279905573E0,-4.783522341E0,-2.797200379E0,6.439269874E0
2.707531708E0,3.913077752E0,-2.997633576E0,-2.777584140E0,5.657999488E0
2.717549708E0,5.377695930E0,-1.507539080E0,-3.303172229E0,6.488700514E0
2.727566708E0,5.048615218E0,-1.296513652E0,-2.483545207E0,5.773860066E0
2.737583708E0,4.122504551E0,-1.975580626E0,4.807357053E-1,4.596636749E0
2.747601708E0,2.606429706E0,-2.472720256E0,1.011788602E0,3.732497482E0
2.757618708E0,8.032688516E-1,-2.295454897E0,-1.320318690E0,2.767236072E0
2.767636708E0,1.948192853E-1,-1.577838984E0,-2.828018129E0,3.244259076E0
2.777652542E0,4.267619580E-1,-6.825630248E-1,-3.484225999E0,3.576010188E0
2.787669542E0,8.542244124E-1,3.624227053E-1,-3.501615034E0,3.622479456E0
2.797687542E0,1.401532568E0,1.562408767E0,-2.880615004E0,3.564176973E0
2.807704542E0,1.990749473E0,2.772232184E0,-2.653909097E0,4.323376949E0
2.817721542E0,2.675667756E0,3.893643361E0,-2.547703196E0,5.367536506E0
2.827739542E0,3.331457258E0,4.922577315E0,-2.274858811E0,6.364381941E0
2.837756542E0,3.593315747E0,5.830016068E0,-2.729994237E0,7.372507982E0
2.847773542E0,3.426181566E0,6.559627544E0,-2.964492143E0,7.972179583E0
2.857791542E0,3.040106289E0,6.716263926E0,-3.297675846E0,8.076206619E0
2.867808542E0,3.059504427E0,6.580498011E0,-3.427441349E0,8.025638642E0
2.877825542E0,3.037418324E0,6.422578749E0,-2.380168773E0,7.492705202E0
2.887843542E0,3.102377089E0,6.022446765E0,-1.207937690E0,6.881404080E0
2.897860542E0,3.174291410E0,5.856331462E0,-1.943510402E0,6.939018434E0
2.907877542E0,3.167808309E0,5.487797831E0,-2.702733933E0,6.888810146E0
2.917895542E0,3.116292293E0,5.267796342E0,-3.694863757E0,7.149333825E0
2.927912542E0,2.835662779E0,5.228088486E0,-3.261432757E0,6.783128794E0
2.937930542E0,1.260781463E0,8.848100281E-1,-2.395488478E0,2.847950795E0
2.947947542E0,-1.025425844E0,-1.702550505E1,-2.266730889E-1,1.705786332E1
2.957964542E0,1.280979354E0,-2.702244638E1,-5.813091302E-1,2.705903614E1
2.967982542E0,8.985865067E-1,-1.724786179E1,-8.075495982E-1,1.729012234E1
2.977999542E0,-2.097307377E0,-6.888444546E0,7.231194587E-1,7.236868677E0
2.988016542E0,-2.249485842E0,-2.145874350E0,2.080534054E0,3.740800079E0
2.998034542E0,-1.823387251E0,1.387278226E0,2.866856213E0,3.669897340E0
3.008051542E0,-2.003536018E0,2.603269286E0,3.413357745E0,4.737317664E0
3.018068542E0,-2.772649090E0,1.845349100E0,3.435710481E0,4.785081273E0
3.028086542E0,-2.668446737E0,9.840472180E-1,3.002286791E0,4.135539008E0
3.038103542E0,-1.373800102E0,4.328991956E-1,2.711377287E0,3.070227227E0
3.048120542E0,1.826155615E-1,-8.851403958E-1,2.747008465E0,2.891864013E0
3.058138542E0,1.908683509E0,-1.922629995E0,2.796033275E0,3.893248118E0
3.068155542E0,2.574986889E0,-1.707122092E0,2.272972061E0,3.835521516E0
3.078173542E0,1.383157693E0,-1.336185840E0,1.582442936E0,2.490510680E0
3.088190542E0,-1.083756571E0,-1.114387502E0,1.053033545E0,1.877569561E0
3.098207542E0,-2.720343115E0,-1.477035910E0,9.607931337E-1,3.241145660E0
3.108225542E0,-3.358844446E0,-2.358943965E0,1.035494091E0,4.233048624E0
3.118242542E0,-4.289328830E0,-3.731078487E0,1.906732585E0,5.996241960E0
3.128259542E0,-5.539590713E0,-4.780244392E0,3.471784294E0,8.098832502E0
3.138277542E0,-6.383558525E0,-4.830364385E0,3.665368939E0,8.804383510E0
3.148294542E0,-6.342767179E0,-4.361273848E0,3.059340413E0,8.283173838E0
3.158311542E0,-5.261865512E0,-3.971056404E0,3.510647228E0,7.468678704E0
3.168329542E0,-4.144583053E0,-4.090200439E0,4.523339955E0,7.373460020E0
3.178346542E0,-3.792938228E0,-4.648692564E0,6.163744147E0,8.601654775E0
3.188363542E0,-4.140699040E0,-4.938703936E0,8.276061326E0,1.048948884E1
3.198381542E0,-4.739317975E0,-4.639820584E0,9.365005839E0,1.147573110E1
3.208398542E0,-4.766356962E0,-3.703925772E0,8.100235552E0,1.010203152E1
3.218415542E0,-4.132155088E0,-2.745737280E0,6.992355416E0,8.573611441E0
3.228433542E0,-4.249486780E0,-1.812350339E0,5.589732342E0,7.251748706E0
3.238450542E0,-4.309984119E0,-1.402517824E0,3.238648789E0,5.570625219E0
3.248468542E0,-3.021368594E0,-2.248422233E0,9.833016980E-1,3.892422504E0
