"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.331312875E0,7.352352111E0,-6.254643207E0,-2.973079948E0,1.010033898E1
1.341306875E0,7.726553448E0,-6.053229432E0,-3.066117920E0,1.028310721E1
1.351300875E0,8.228903532E0,-5.861177634E0,-3.210667523E0,1.060078500E1
1.361294875E0,9.117226567E0,-5.802392067E0,-3.289888524E0,1.129667829E1
1.371288875E0,9.089575084E0,-5.764233722E0,-3.840534271E0,1.142788122E1
1.381282875E0,8.304924352E0,-5.405957277E0,-4.648890785E0,1.094569907E1
1.391276875E0,7.953984994E0,-5.343247059E0,-4.493767077E0,1.058348284E1
1.401270875E0,7.411327128E0,-5.275014730E0,-4.332978587E0,1.007612295E1
1.411264875E0,6.411192466E0,-4.925920753E0,-4.095535146E0,9.063194373E0
1.421258875E0,4.633053601E0,-4.170601408E0,-3.176047913E0,6.996169104E0
1.431252875E0,2.544564410E0,-3.198045723E0,-1.481595569E0,4.347117426E0
1.441246875E0,1.362570816E0,-2.430207490E0,-1.112427515E0,3.000000442E0
1.451240875E0,9.395569235E-1,-2.577095979E0,-1.596412665E0,3.173755551E0
1.461234875E0,1.017614329E-1,-3.220785545E0,-1.061103288E0,3.392602998E0
1.471228875E0,-1.399928677E0,-3.537043313E0,-1.605952397E-1,3.807396293E0
1.481222875E0,-2.670035133E0,-2.756485632E0,5.504217982E-1,3.876888547E0
1.491216875E0,-3.385892204E0,-1.037515912E0,1.121674302E0,3.714681484E0
1.501210875E0,-3.453073204E0,8.244626695E-1,1.396716802E0,3.815006038E0
1.511204875E0,-3.123848650E0,2.557889630E0,2.814060533E0,4.921398829E0
1.521198875E0,-2.992459960E0,4.163681813E0,8.873559058E-1,5.203697086E0
1.531192875E0,-7.468710533E0,7.518748666E0,-2.116587109E0,1.080708839E1
1.541186875E0,-1.123831574E1,1.136540614E1,-1.838981775E0,1.608894190E1
1.551180875E0,-1.109105244E1,1.454959630E1,-1.419384118E0,1.834984600E1
1.561174875E0,-3.651632953E-1,1.122766211E1,-3.592471702E0,1.179404908E1
1.571169875E0,-6.569171369E-2,1.299400773E1,6.916138129E0,1.472010594E1
1.581163875E0,-1.826527966E1,2.536453387E1,1.584715894E0,3.129682642E1
1.591157875E0,-1.513286191E1,2.755074933E1,-9.691292167E-2,3.143336906E1
1.601151875E0,-9.982334987E0,1.420670154E1,2.556299480E0,1.755027201E1
1.611145875E0,-9.321832337E0,7.164034345E0,2.925705222E0,1.211526712E1
1.621139875E0,-1.064830595E1,7.437614456E0,8.187135701E0,1.535362236E1
1.631133875E0,-1.085914485E1,5.084727037E0,1.214146848E1,1.706431167E1
1.641127875E0,-9.998607788E0,3.450290514E0,1.171775936E1,1.578551699E1
1.651121875E0,-7.092057459E0,5.304967092E0,6.007988355E0,1.070214366E1
1.661115875E0,-5.510652258E0,5.316872608E0,5.226457697E0,9.271045394E0
1.671109875E0,-3.524227971E0,4.357074378E0,2.552480371E0,6.157875930E0
1.681103875E0,-1.236111329E0,2.115048999E-1,-9.834949484E-1,1.593727660E0
1.691097875E0,1.950268030E0,-2.401802886E0,-3.375524798E0,4.578904908E0
1.701091875E0,9.160084904E0,1.798325792E0,7.995514843E-1,9.369120219E0
1.711085875E0,1.284345479E1,3.487950675E0,6.807234322E0,1.494853070E1
1.721079875E0,1.255287858E1,2.964658204E0,4.335824427E0,1.360747340E1
1.731073875E0,1.214110946E1,-2.219024187E-1,1.423197379E0,1.222625333E1
1.741067875E0,1.126896334E1,-3.153233832E0,2.633363736E-1,1.170477528E1
1.751061875E0,1.099557911E1,-4.387136668E0,-1.638911544E0,1.195139151E1
1.761055875E0,1.258528385E1,-4.527026040E0,-2.421357876E0,1.359214141E1
1.771049875E0,1.414097299E1,-2.870716837E0,-2.914014592E0,1.472072055E1
1.781043875E0,1.431476043E1,-1.593843398E0,-4.576917408E0,1.511293737E1
1.791037875E0,1.449358465E1,-2.883809338E0,-5.355257825E0,1.571811499E1
1.801031875E0,1.315998328E1,-4.093166439E0,-5.427889599E0,1.481219623E1
1.811025875E0,1.172251431E1,-4.736315430E0,-5.750441895E0,1.388947831E1
1.821019875E0,1.131690700E1,-4.994522041E0,-3.522015384E0,1.286165723E1
1.831013875E0,1.072328831E1,-4.631831241E0,-2.434130095E0,1.193179626E1
1.841007875E0,1.026980282E1,-4.670666401E0,-2.925029869E0,1.165503215E1
1.851001875E0,9.794524759E0,-5.398132533E0,-3.445945155E0,1.170243941E1
1.860995875E0,9.842137467E0,-6.277071372E0,-3.943164600E0,1.232143831E1
1.870993000E0,1.047193873E1,-6.055374776E0,-4.542258037E0,1.292134561E1
1.880987000E0,9.571133054E0,-6.515706183E0,-3.650633956E0,1.214035186E1
1.890981000E0,8.157244735E0,-8.650218809E0,-3.157082762E0,1.230179250E1
1.900975000E0,8.237969640E0,-7.937170740E0,-3.593837319E0,1.199076686E1
1.910969000E0,8.321146867E0,-7.905350193E0,-4.244359941E0,1.223726433E1
1.920964000E0,8.464473233E0,-8.805827835E0,-5.645831113E0,1.345605142E1
1.930958000E0,8.500151773E0,-8.233830396E0,-6.389663018E0,1.344902735E1
1.940952000E0,8.275887079E0,-7.732537488E0,-6.769588194E0,1.319506602E1
1.950946000E0,7.842254058E0,-8.040885143E0,-6.668858210E0,1.306255918E1
1.960940000E0,7.233933131E0,-7.883668132E0,-6.150680882E0,1.234151073E1
1.970934000E0,6.307392694E0,-7.696956596E0,-5.423955007E0,1.133338570E1
1.980928000E0,4.955873700E0,-7.751307635E0,-5.000975028E0,1.047154265E1
1.990922000E0,3.811906888E0,-7.339767149E0,-4.706834353E0,9.516149723E0
2.000916000E0,2.790531630E0,-6.241689870E0,-4.678330346E0,8.284475484E0
2.010910000E0,1.972303846E0,-4.573281901E0,-4.462557564E0,6.687249795E0
2.020904000E0,1.200183113E0,-3.208714553E0,-3.906409587E0,5.195798731E0
2.030898000E0,-2.062120003E-1,-2.583413311E0,-1.739079464E0,3.121048719E0
2.040892000E0,-2.388375340E0,-1.487195739E0,1.960759104E0,3.429382480E0
2.050886000E0,-5.677482677E0,2.355381256E-1,7.045472692E0,9.051407250E0
2.060880000E0,-9.748352221E0,1.548750256E0,1.326742353E1,1.653643025E1
2.070874000E0,-1.296398461E1,2.050571459E0,1.977727373E1,2.373626543E1
2.080868000E0,-1.539463123E1,3.027057058E0,2.461659312E1,2.919134122E1
2.090862000E0,-1.810046770E1,5.668827043E0,2.848811179E1,3.422477238E1
2.100856000E0,-2.068227770E1,8.981125606E0,3.097480163E1,3.831260320E1
2.110850000E0,-2.186695634E1,1.216914803E1,3.268126942E1,4.116208588E1
2.120844000E0,-2.195813314E1,1.453167108E1,3.463225841E1,4.350542952E1
2.130838000E0,-2.085569442E1,1.558111999E1,3.472283412E1,4.339823152E1
2.140832000E0,-1.882492368E1,1.626867537E1,3.186503086E1,4.042805636E1
2.150826000E0,-1.887943143E1,1.582726087E1,3.054489563E1,3.924188791E1
2.160821000E0,-1.531021147E1,1.418019027E1,2.776027144E1,3.472913822E1
2.170815000E0,-9.847610461E0,1.371238612E1,2.332577349E1,2.879403886E1
2.180809000E0,-5.448417419E0,1.301128976E1,1.840608061E1,2.318971145E1
2.190803000E0,-1.730546038E0,1.146262663E1,1.386623923E1,1.807371542E1
2.200797000E0,6.800072068E-1,9.100581883E0,9.902100663E0,1.346605354E1
2.210791000E0,1.952864486E0,6.017596500E0,6.247412540E0,8.891305348E0
2.220785000E0,2.412447450E0,2.786405250E0,2.605250908E0,4.513456459E0
2.230779000E0,2.714087764E0,-6.571826005E-1,-1.020739666E0,2.973225660E0
2.240773000E0,3.014469464E0,-4.075572460E0,-4.332751130E0,6.668586761E0
2.250767000E0,3.133668756E0,-7.216499657E0,-6.556774687E0,1.024153511E1
2.260761000E0,3.249022334E0,-1.022135162E1,-7.424744734E0,1.304450112E1
2.270755000E0,3.344613200E0,-1.256626285E1,-8.160870008E0,1.535243299E1
2.280749000E0,3.213156683E0,-1.450784601E1,-9.063246242E0,1.740529817E1
2.290743000E0,3.257692878E0,-1.533509488E1,-1.020635468E1,1.870688039E1
2.300737000E0,3.879887202E0,-1.533335709E1,-1.167301763E1,1.965768819E1
2.310731000E0,4.848775513E0,-1.505108626E1,-1.333157450E1,2.068276336E1
2.320725000E0,5.988280315E0,-1.427160330E1,-1.503955672E1,2.158069573E1
2.330719000E0,6.763840381E0,-1.342409032E1,-1.608631942E1,2.201648042E1
2.340713000E0,7.004190180E0,-1.255415210E1,-1.616148538E1,2.163004911E1
2.350708000E0,6.565261921E0,-1.170326762E1,-1.560742310E1,2.058302196E1
2.360702000E0,5.682954501E0,-1.134224298E1,-1.464537136E1,1.937599933E1
2.370696000E0,4.801544921E0,-1.123877650E1,-1.362220100E1,1.830107349E1
2.380690000E0,4.070004156E0,-1.120739449E1,-1.271593637E1,1.743174297E1
2.390684000E0,3.482054051E0,-1.107617011E1,-1.190421888E1,1.662879045E1
2.400678000E0,3.217642082E0,-1.087254550E1,-1.097706916E1,1.578168285E1
2.410672000E0,3.151493408E0,-1.031161392E1,-1.001042852E1,1.471291852E1
2.420666000E0,3.176006106E0,-9.717363732E0,-9.245089971E0,1.378353588E1
2.430660000E0,3.117337483E0,-9.223900831E0,-8.600601676E0,1.299109267E1
2.440654000E0,2.860050931E0,-8.839328873E0,-8.139267470E0,1.235157080E1
2.450648000E0,2.503261433E0,-8.644095020E0,-7.802961938E0,1.191104158E1
2.460642000E0,2.102909740E0,-8.497259740E0,-7.580359608E0,1.157961589E1
2.470636000E0,1.758687079E0,-8.252506987E0,-7.431211170E0,1.124365382E1
2.480630000E0,1.512593413E0,-7.889188489E0,-7.272081535E0,1.083560814E1
2.490624000E0,1.593215699E0,-7.423280007E0,-6.868221951E0,1.023796343E1
