"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.004522375E0,-9.155585471E0,-6.870554405E0,-2.968664131E0,1.182549068E1
1.014518375E0,-8.273414292E0,-6.635283498E0,-2.699242560E0,1.094359546E1
1.024513375E0,-7.602600077E0,-6.238262233E0,-2.408930203E0,1.012513646E1
1.034509375E0,-7.157242804E0,-5.597444234E0,-2.335945404E0,9.381585551E0
1.044505375E0,-6.584006340E0,-4.887922622E0,-2.566042403E0,8.592176712E0
1.054500375E0,-6.416674815E0,-4.506115812E0,-2.907491146E0,8.362553447E0
1.064496375E0,-6.489072116E0,-4.466592727E0,-2.967784710E0,8.418209644E0
1.074492375E0,-5.691668606E0,-4.251672469E0,-3.125247596E0,7.761377638E0
1.084487375E0,-4.362432182E0,-3.883369803E0,-2.928831436E0,6.533714805E0
1.094483375E0,-3.691147267E0,-3.480873790E0,-2.549326383E0,5.678037997E0
1.104479375E0,-3.074124513E0,-2.986843125E0,-2.188446904E0,4.812564101E0
1.114474375E0,-2.185235467E0,-2.462595218E0,-1.875873905E0,3.789265385E0
1.124470375E0,-6.097201663E-1,-1.431001951E0,-1.397108565E0,2.090798318E0
1.134465375E0,4.110528284E-1,5.809676528E-2,-3.539091593E-1,5.455193442E-1
1.144461375E0,2.122381992E0,1.860199859E0,5.349012414E-1,2.872449855E0
1.154457375E0,5.139744658E0,4.244528925E0,1.972017918E0,6.951392351E0
1.164452375E0,9.807834191E0,7.284981077E0,3.590767238E0,1.273413406E1
1.174448375E0,1.576170189E1,9.796931473E0,5.510704883E0,1.935920920E1
1.184444375E0,2.196798921E1,1.141295570E1,7.486791294E0,2.586310406E1
1.194439375E0,2.687846454E1,1.224876138E1,9.390536537E0,3.099461546E1
1.204435375E0,3.005500186E1,1.273941294E1,1.105163169E1,3.446352190E1
1.214431375E0,3.073768066E1,1.341048034E1,1.211783287E1,3.565792856E1
1.224426375E0,2.873632843E1,1.389468593E1,1.257678082E1,3.430764179E1
1.234422375E0,2.564379221E1,1.364087935E1,1.269711886E1,3.170007091E1
1.244417375E0,2.179756158E1,1.291090944E1,1.213814259E1,2.809198781E1
1.254413375E0,1.753561497E1,1.201100190E1,1.082883523E1,2.385425814E1
1.264409375E0,1.370087061E1,1.113321087E1,9.209025514E0,1.991151402E1
1.274404375E0,1.021033430E1,1.005122805E1,7.456061836E0,1.615150055E1
1.284400375E0,7.199838016E0,8.748888819E0,5.662868146E0,1.266683854E1
1.294396375E0,4.582026705E0,7.496690045E0,3.891200102E0,9.609202287E0
1.304391375E0,2.278789163E0,6.467008232E0,2.217141676E0,7.206302293E0
1.314387375E0,2.767381918E-1,5.543976125E0,9.133508724E-1,5.625519098E0
1.324382375E0,-1.453045954E0,4.428153716E0,-4.097714111E-2,4.660640193E0
1.334378375E0,-2.612771596E0,2.705823601E0,-7.446826744E-1,3.834398136E0
1.344374375E0,-3.325552447E0,5.403534776E-1,-1.421244263E0,3.656667364E0
1.354369375E0,-3.991551479E0,-1.735091663E0,-2.024877917E0,4.800328829E0
1.364365375E0,-4.560083858E0,-3.998318462E0,-2.377104393E0,6.513949694E0
1.374361375E0,-4.817250250E0,-5.880960519E0,-2.566292664E0,8.023556233E0
1.384356375E0,-5.299252608E0,-7.189157492E0,-2.891771491E0,9.387673088E0
1.394352375E0,-5.969890822E0,-8.633159557E0,-3.340955767E0,1.101512713E1
1.404348375E0,-6.920177386E0,-9.964275277E0,-3.881269484E0,1.273734233E1
1.414343375E0,-8.220291753E0,-1.080499730E1,-4.275243180E0,1.423372289E1
1.424339375E0,-9.816721959E0,-1.130055818E1,-4.269355034E0,1.556592553E1
1.434334375E0,-1.180145055E1,-1.155297780E1,-4.041742809E0,1.700238854E1
1.444330375E0,-1.341277362E1,-1.147782237E1,-3.815954915E0,1.806112993E1
1.454326375E0,-1.435097340E1,-1.128968119E1,-3.620214694E0,1.861486754E1
1.464321375E0,-1.450094513E1,-1.104746613E1,-3.128383166E0,1.849623472E1
1.474317375E0,-1.435422329E1,-1.087421664E1,-3.032501693E0,1.826166422E1
1.484313375E0,-1.368676479E1,-1.055052764E1,-2.936683955E0,1.752898390E1
1.494308375E0,-1.307574479E1,-9.920685453E0,-2.897017028E0,1.666696761E1
1.504304375E0,-1.249101387E1,-9.296502784E0,-2.677849352E0,1.579940722E1
1.514299375E0,-1.173530685E1,-8.763800973E0,-2.528292194E0,1.486317247E1
1.524295375E0,-1.095019536E1,-8.201816306E0,-2.309955407E0,1.387488606E1
1.534291375E0,-1.026135008E1,-7.447712597E0,-1.925351290E0,1.282461329E1
1.544286375E0,-9.690659498E0,-6.600373281E0,-1.348017681E0,1.180215915E1
1.554282375E0,-9.237917776E0,-5.834996726E0,-6.824788249E-1,1.094769788E1
1.564278375E0,-8.707719743E0,-5.144713622E0,-1.271202955E-3,1.011397365E1
1.574273375E0,-8.291883307E0,-4.545548850E0,6.423505533E-1,9.477866709E0
1.584269375E0,-7.806167382E0,-4.111714392E0,1.177877739E0,8.901114560E0
1.594264625E0,-7.084811005E0,-3.399965575E0,1.674420369E0,8.034799093E0
1.604260625E0,-6.421802239E0,-2.509013047E0,2.061848692E0,7.196242804E0
1.614256625E0,-5.759119163E0,-1.750020774E0,2.177767403E0,6.400991884E0
1.624251625E0,-4.938377076E0,-1.059368126E0,2.039361470E0,5.446909599E0
1.634247625E0,-4.054098560E0,-2.024411309E-1,1.756683676E0,4.422966774E0
1.644243625E0,-3.198371998E0,4.922984281E-1,1.410340229E0,3.530014269E0
1.654238625E0,-2.041419105E0,8.913106701E-1,9.793583357E-1,2.433304219E0
1.664234625E0,-7.314743990E-1,1.262792759E0,7.610689116E-1,1.645881599E0
1.674230625E0,1.059371635E0,1.599320777E0,9.913509750E-1,2.159368418E0
1.684225625E0,3.613942970E0,2.085387243E0,1.318037252E0,4.375688054E0
1.694221625E0,6.253087848E0,3.221777818E0,1.789631567E0,7.258356638E0
1.704216625E0,8.909106036E0,4.766922973E0,1.921435994E0,1.028531192E1
1.714212625E0,1.164155610E1,6.336021246E0,1.397671652E0,1.332758342E1
1.724208625E0,1.488951366E1,7.853069653E0,7.777019012E-1,1.685150261E1
1.734203625E0,1.886319020E1,9.202405297E0,4.203072166E-1,2.099240019E1
1.744199625E0,2.335640121E1,1.045145827E1,5.530483675E-1,2.559414620E1
1.754195625E0,2.703188378E1,1.135759309E1,6.647863197E-1,2.932847767E1
1.764190625E0,2.986617422E1,1.202887684E1,7.740193248E-1,3.220685248E1
1.774186625E0,3.124851213E1,1.252096564E1,1.027002618E0,3.367935311E1
1.784181625E0,3.000763240E1,1.270984240E1,1.056822833E0,3.260544388E1
1.794177625E0,2.657979344E1,1.160268849E1,1.048161353E0,2.902079327E1
1.804173625E0,2.187971262E1,9.282503965E0,1.539937332E0,2.381718101E1
1.814168625E0,1.696367659E1,6.829054962E0,2.218642364E0,1.842076787E1
1.824164625E0,1.258042949E1,5.008793340E0,2.512799411E0,1.377205060E1
1.834159625E0,8.914083186E0,4.228050887E0,2.299419163E0,1.013038113E1
1.844155625E0,6.211198395E0,3.755018157E0,1.768665791E0,7.470430077E0
1.854151625E0,4.258902551E0,3.149435481E0,1.317857743E0,5.458382894E0
1.864146625E0,2.826704260E0,2.870549607E0,9.422968557E-1,4.137418928E0
1.874142625E0,1.913934601E0,2.590642809E0,4.589807010E-1,3.253496443E0
1.884138625E0,8.611691505E-1,1.939575226E0,3.087563753E-2,2.122384901E0
1.894133625E0,-5.591937912E-1,9.291319227E-1,-4.046822870E-1,1.157476384E0
1.904129625E0,-2.366949388E0,-2.366625452E-1,-9.079136197E-1,2.546127590E0
1.914124625E0,-4.174005657E0,-1.441942091E0,-1.499760529E0,4.663775495E0
1.924120625E0,-5.686243560E0,-2.636173615E0,-2.166151325E0,6.631364016E0
1.934116625E0,-6.771903691E0,-3.842753874E0,-2.726789378E0,8.249898015E0
1.944111625E0,-7.541387916E0,-4.975267160E0,-3.222727405E0,9.592277463E0
1.954107625E0,-8.076873001E0,-5.957857252E0,-3.464872885E0,1.061778153E1
1.964103625E0,-8.820397927E0,-6.739392003E0,-3.503837560E0,1.164026210E1
1.974098625E0,-1.008262760E1,-7.310494233E0,-3.282300008E0,1.287929340E1
1.984094625E0,-1.161860929E1,-7.545629486E0,-2.821132448E0,1.413815386E1
1.994089625E0,-1.303596267E1,-7.367037978E0,-2.555005199E0,1.519005013E1
2.004085625E0,-1.434557993E1,-6.906201956E0,-2.699560064E0,1.614865052E1
2.014081625E0,-1.528809613E1,-6.473386960E0,-2.767253280E0,1.683117087E1
2.024076625E0,-1.576142941E1,-6.128288970E0,-2.730897047E0,1.712998486E1
2.034072625E0,-1.572180867E1,-5.907967054E0,-2.633408175E0,1.700041709E1
2.044068625E0,-1.522831537E1,-5.868484315E0,-2.336539189E0,1.648636141E1
2.054063625E0,-1.443772737E1,-5.858483822E0,-1.830560907E0,1.568823628E1
2.064059625E0,-1.360384659E1,-5.701080869E0,-1.305237697E0,1.480778885E1
2.074054625E0,-1.281532734E1,-5.513218017E0,-7.976642954E-1,1.397370588E1
2.084050625E0,-1.209734656E1,-5.431578022E0,-2.679685378E-1,1.326347017E1
2.094046625E0,-1.160786445E1,-5.344074440E0,2.455503861E-1,1.278131228E1
2.104041625E0,-1.127349844E1,-5.326773698E0,7.535938311E-1,1.249136456E1
2.114037625E0,-1.098936352E1,-5.300975783E0,1.207066455E0,1.226064697E1
2.124033625E0,-1.085618967E1,-5.193109857E0,1.565577665E0,1.213574380E1
2.134028625E0,-1.063631916E1,-5.004526042E0,1.915613337E0,1.190991774E1
2.144024625E0,-1.030595148E1,-4.701773296E0,2.260879726E0,1.155122873E1
2.154019625E0,-9.986534457E0,-4.376002400E0,2.399048263E0,1.116403601E1
2.164015625E0,-9.674501302E0,-4.105317830E0,2.198733180E0,1.073704045E1
